reports,tuple
0,"[{'Category': 'Street and Sidewalk Cleaning', 'TimeBin': 0.0, 'Request Type': 'Illegal_Dumping', 'Point': '(37.788590360619, -122.415362785838)', 'XBin': 37.787914339746415, 'Request Details': 'Furniture', 'Supervisor District': 3.0, 'Source': 'Voice In', 'Y': -122.415362785838, 'X': 37.788590360619, 'DateTime': Timestamp('2014-11-25 22:55:34'), 'YBin': -122.41670232926323}]","(0.0, 37.787914339746415, -122.41670232926323)"
1,"[{'Category': 'Graffiti Public Property', 'TimeBin': 2774.3783783783783, 'Request Type': 'Not_Offensive Graffiti on Public Property', 'Point': '(37.7733089339777, -122.508957824593)', 'XBin': 37.7733089339777, 'Request Details': 'Pole - Not_Offensive', 'Supervisor District': 1.0, 'Source': 'Voice In', 'Y': -122.508957824593, 'X': 37.7733089339777, 'DateTime': Timestamp('2014-11-25 23:41:49'), 'YBin': -122.508957824593}]","(2774.3783783783783, 37.7733089339777, -122.508957824593)"
2,"[{'Category': 'Graffiti Public Property', 'TimeBin': 6999.0, 'Request Type': 'Offensive Graffiti on Public Property', 'Point': '(37.7897400154675, -122.412075811007)', 'XBin': 37.7897400154675, 'Request Details': 'Mail_box - Offensive', 'Supervisor District': 3.0, 'Source': 'Open311', 'Y': -122.412075811007, 'X': 37.7897400154675, 'DateTime': Timestamp('2014-11-26 00:52:13'), 'YBin': -122.41670232926323}]","(6999.0, 37.7897400154675, -122.41670232926323)"
3,"[{'Category': 'Street and Sidewalk Cleaning', 'TimeBin': 6753.789789789789, 'Request Type': 'Illegal_Dumping', 'Point': '(37.7897400154675, -122.412075811007)', 'XBin': 37.7897400154675, 'Request Details': 'Garbage', 'Supervisor District': 3.0, 'Source': 'Open311', 'Y': -122.412075811007, 'X': 37.7897400154675, 'DateTime': Timestamp('2014-11-26 00:48:10'), 'YBin': -122.41670232926323}]","(6753.789789789789, 37.7897400154675, -122.41670232926323)"
4,"[{'Category': 'Litter Receptacles', 'TimeBin': 4070.489489489489, 'Request Type': 'Door_Lock_issues', 'Point': '(37.78747123631, -122.405170392347)', 'XBin': 37.78608866402532, 'Request Details': nan, 'Supervisor District': 3.0, 'Source': 'Integrated Agency', 'Y': -122.405170392347, 'X': 37.78747123631, 'DateTime': Timestamp('2014-11-26 00:03:28'), 'YBin': -122.405170392347}]","(4070.489489489489, 37.78608866402532, -122.405170392347)"
